Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),48.70,0.00,154724.64,,,,,,8.30,,127.26,182.53,242.05,259.03
Active Decode Throughput Per User (tokens/sec/user),31.11,0.00,154724.64,,,,,,7.86,,65.11,69.01,108.82,164.74
Active Prefill Throughput (tokens/sec),11555.59,2847.29,21459.53,,,,,,12006.92,,15992.60,18839.89,20049.07,3186.49
Active Prefill Throughput Per User (tokens/sec/user),10095.80,2644.19,12949.60,,,,,,10729.77,,12566.27,12623.05,12834.79,2486.18
Active Total Throughput (tokens/sec),5255.87,0.00,21478.40,,,,,,91.72,,12623.05,15014.84,19417.07,6120.98
Decode Duration (error-adjusted) (ms),,25.77,,,610.21,1828.15,2217.63,2459.86,6070.67,9755.09,70944.35,163279.15,,
Inter Token Latency (error-adjusted) (ms),,19.10,,,19.45,19.63,19.80,20.26,30.14,56.13,77.54,94.68,,
Request Latency (error-adjusted) (ms),,6033.47,,,6092.34,6466.38,6982.10,8656.58,12611.29,18590.25,79891.13,181071.14,,
Time to First Token (error-adjusted) (ms),,3915.28,,,3936.64,4035.46,4068.57,4521.49,5785.05,8946.78,15924.90,18048.41,,
Credit-to-Start Latency (ms),10.31,0.88,39.17,701.27,0.90,0.99,1.12,1.43,2.80,22.35,24.63,26.79,34.38,10.91
Decode Duration (ms),19424.55,25.77,287315.49,1282020.44,405.65,1882.75,2197.34,2445.92,5833.91,9712.15,27944.56,130899.25,206691.87,47347.72
E2E Output Token Throughput (tokens/sec/user),14.54,0.13,45.25,959.61,1.09,6.53,7.57,9.77,13.03,16.89,21.56,27.46,45.13,8.16
Effective Concurrency,1.95,0.00,4.00,,,,,,1.00,,4.00,4.00,4.00,1.19
Effective Decode Concurrency,1.40,0.00,4.00,,,,,,1.00,,3.00,3.00,4.00,1.03
Effective Decode Throughput (tokens/sec),39.58,0.00,154724.64,,,,,,7.32,,120.16,175.60,235.93,234.31
Effective Decode Throughput Per User (tokens/sec/user),25.29,0.00,154724.64,,,,,,6.91,,64.40,67.42,100.01,149.02
Effective Latency (CO-aware) (ms),26396.18,66.50,293631.37,1794940.22,4065.46,6469.85,6955.89,8210.06,12232.64,18029.53,34450.08,137497.76,218234.20,48286.36
Effective Prefill Concurrency,0.52,0.00,4.00,,,,,,0.00,,1.00,2.00,3.00,0.70
Effective Prefill Throughput (tokens/sec),4997.93,0.00,21459.53,,,,,,0.00,,12623.05,14938.96,19398.21,6096.42
Effective Prefill Throughput Per User (tokens/sec/user),4366.55,0.00,12949.60,,,,,,0.00,,12279.32,12566.27,12834.79,5262.17
Effective Total Throughput (tokens/sec),5037.51,0.00,21478.40,,,,,,75.62,,12623.05,14966.44,19417.07,6083.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,444.36,2.00,6463.00,29328.00,16.95,81.75,85.00,93.00,102.50,159.00,372.00,2985.75,5106.45,1097.46
HTTP Chunks Sent,1.00,1.00,1.00,66.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
