Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),51.54,0.00,170261.44,,,,,,61.45,,69.57,76.89,142.34,229.82
Active Decode Throughput Per User (tokens/sec/user),51.54,0.00,170261.44,,,,,,61.45,,69.57,76.89,142.34,229.82
Active Prefill Throughput (tokens/sec),12593.24,11808.03,12941.70,,,,,,12582.98,,12940.76,12941.70,12941.70,323.18
Active Prefill Throughput Per User (tokens/sec/user),12593.24,11808.03,12941.70,,,,,,12582.98,,12940.76,12941.70,12941.70,323.18
Active Total Throughput (tokens/sec),5515.77,0.00,12941.70,,,,,,51.79,,12920.71,12940.76,12941.70,6222.47
Decode Duration (error-adjusted) (ms),,91.15,,,2896.16,19394.39,,,,,,,,
Inter Token Latency (error-adjusted) (ms),,11.39,,,19.14,19.57,,,,,,,,
Request Latency (error-adjusted) (ms),,11050.78,,,12933.34,31748.12,,,,,,,,
Time to First Token (error-adjusted) (ms),,8316.47,,,8691.54,10976.29,,,,,,,,
Credit-to-Start Latency (ms),0.92,0.00,9.41,216.65,0.00,0.00,0.00,0.00,0.00,0.00,5.03,5.78,9.24,2.15
Decode Duration (ms),13237.26,91.15,46887.68,211796.17,438.70,1828.88,2652.14,4295.67,10819.68,14062.87,31123.96,39615.82,45433.31,12664.95
E2E Output Token Throughput (tokens/sec/user),23.86,0.81,43.95,381.70,2.06,7.04,10.57,17.23,25.06,30.79,36.93,40.79,43.32,11.10
Effective Concurrency,0.40,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.49
Effective Decode Concurrency,0.23,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.42
Effective Decode Throughput (tokens/sec),11.74,0.00,170261.44,,,,,,0.00,,62.76,66.04,79.07,111.79
Effective Decode Throughput Per User (tokens/sec/user),11.74,0.00,170261.44,,,,,,0.00,,62.76,66.04,79.07,111.79
Effective Latency (CO-aware) (ms),1593.54,0.00,55263.53,376075.24,0.00,0.00,0.00,0.00,0.00,0.00,6.88,13367.50,35504.05,6777.18
Effective Prefill Concurrency,0.18,0.00,1.00,,,,,,0.00,,1.00,1.00,1.00,0.38
Effective Prefill Throughput (tokens/sec),2218.45,0.00,12941.70,,,,,,0.00,,12577.63,12920.71,12941.70,4799.42
Effective Prefill Throughput Per User (tokens/sec/user),2218.45,0.00,12941.70,,,,,,0.00,,12577.63,12920.71,12941.70,4799.42
Effective Total Throughput (tokens/sec),2230.19,0.00,12941.70,,,,,,0.00,,12577.63,12920.71,12941.70,4794.04
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,544.69,7.00,1930.00,8715.00,20.05,72.25,105.00,180.50,441.50,569.75,1297.50,1657.00,1875.40,524.40
HTTP Chunks Sent,1.00,1.00,1.00,16.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.82,0.00,7.50,13.09,0.00,0.00,0.00,0.00,0.00,0.89,1.87,3.56,6.71,1.85
HTTP Connection Overhead (ms),0.82,0.00,7.50,13.09,0.00,0.00,0.00,0.00,0.00,0.89,1.87,3.56,6.71,1.85
HTTP Connection Reused (ratio),0.69,0.00,1.00,11.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),165.43,2.79,586.53,2646.89,6.77,22.69,33.19,54.59,134.62,176.71,385.84,493.36,567.89,157.50
HTTP Data Sent (KB),504.56,391.78,629.98,8073.01,393.27,399.22,405.97,434.71,516.88,539.79,625.74,628.50,629.68,76.82
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),23476.15,11050.61,55261.32,375618.43,11130.98,11452.49,12259.87,13988.48,20950.49,24886.10,42843.76,49941.36,54197.33,12789.51
HTTP Receiving (ms),13237.29,91.16,46887.72,211796.61,438.71,1828.90,2652.16,4295.68,10819.75,14062.89,31123.98,39615.85,45433.35,12664.95
HTTP Sending (ms),1.31,0.12,7.79,20.99,0.12,0.12,0.13,0.16,0.28,1.34,3.62,5.96,7.43,2.11
HTTP Total Time (ms),23476.97,11050.61,55262.31,375631.52,11131.32,11454.18,12261.00,13994.10,20950.92,24886.10,42843.76,49941.61,54198.17,12789.13
HTTP Waiting (TTFB) (ms),10237.55,8316.11,12463.29,163800.83,8324.54,8358.25,8528.61,9045.67,10372.86,10964.81,12386.68,12430.76,12456.78,1379.71
Input Sequence Length (tokens),128943.56,100162.00,161287.00,2063097.00,100532.20,102013.00,103638.00,110847.50,132023.50,138107.50,160180.50,160878.25,161205.25,19777.47
Inter Chunk Latency (ms),19.40,0.00,243.84,211796.17,0.00,0.00,0.00,0.24,18.96,19.84,23.25,33.97,165.73,29.45
Inter Token Latency (ms),18.93,11.39,20.41,302.95,12.52,17.00,19.00,19.29,19.40,19.51,19.59,19.79,20.29,1.97
