Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),53.46,0.00,192.12,,,,,,51.17,,51.86,95.18,98.05,10.80
Active Decode Throughput Per User (tokens/sec/user),50.76,0.00,138.97,,,,,,51.10,,51.64,51.82,54.11,2.59
Active Prefill Throughput (tokens/sec),175351.56,49494.41,431686.99,,,,,,162541.14,,290830.40,346280.85,431686.99,86699.60
Active Prefill Throughput Per User (tokens/sec/user),175351.56,49494.41,431686.99,,,,,,162541.14,,290830.40,346280.85,431686.99,86699.60
Active Total Throughput (tokens/sec),7132.12,47.85,431686.99,,,,,,51.17,,52.05,96.91,237933.04,38656.47
Credit-to-Start Latency (ms),0.90,0.61,2.14,40.36,0.62,0.70,0.72,0.77,0.82,0.90,1.11,1.32,1.90,0.26
Decode Duration (ms),16332.27,157.94,78748.28,734951.93,220.29,1685.77,2106.17,3506.76,10938.10,18422.05,45335.05,58410.20,75934.54,19114.94
E2E Output Token Throughput (tokens/sec/user),45.43,11.63,50.81,2044.51,13.78,38.21,42.14,44.93,47.49,49.44,50.09,50.41,50.74,7.42
Effective Concurrency,0.85,0.00,2.00,,,,,,1.00,,1.00,1.00,2.00,0.47
Effective Decode Concurrency,0.82,0.00,2.00,,,,,,1.00,,1.00,1.00,2.00,0.49
Effective Decode Throughput (tokens/sec),41.30,0.00,192.12,,,,,,50.92,,51.71,54.50,97.87,24.33
Effective Decode Throughput Per User (tokens/sec/user),39.22,0.00,138.97,,,,,,50.78,,51.56,51.74,53.10,21.40
Effective Latency (CO-aware) (ms),16982.34,774.75,80150.35,764205.34,860.68,2245.86,2576.08,3903.37,11423.09,18911.67,46444.29,59020.43,76977.17,19235.88
Effective Prefill Concurrency,0.03,0.00,1.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),5685.62,0.00,431686.99,,,,,,0.00,,0.00,0.00,213652.70,34761.79
Effective Prefill Throughput Per User (tokens/sec/user),5685.62,0.00,431686.99,,,,,,0.00,,0.00,0.00,213652.70,34761.79
Effective Total Throughput (tokens/sec),5726.92,0.00,431686.99,,,,,,51.04,,51.69,96.30,213652.70,34755.60
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
HTTP Chunks Sent,1.00,1.00,1.00,45.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.22,0.00,1.70,10.04,0.00,0.00,0.00,0.00,0.00,0.45,0.60,0.70,1.63,0.39
HTTP Connection Overhead (ms),0.27,0.00,2.92,12.37,0.00,0.00,0.00,0.00,0.00,0.45,0.60,0.70,2.81,0.59
HTTP Connection Reused (ratio),0.67,0.00,1.00,30.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.47
HTTP Data Received (KB),200.33,2.79,976.32,9014.81,3.54,21.32,27.01,44.76,126.53,228.57,562.21,681.27,939.07,233.26
HTTP Data Sent (KB),444.78,258.03,661.65,20015.16,260.93,271.54,279.78,334.25,429.26,534.31,637.40,647.31,657.87,125.43
HTTP DNS Lookup (ms),0.05,0.00,1.22,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.24
HTTP Duration (excl. conn) (ms),16981.37,773.81,80149.47,764161.85,859.74,2244.80,2575.24,3902.10,11422.24,18909.99,46443.22,59018.41,76976.34,19235.78
HTTP Receiving (ms),16332.27,157.94,78748.29,734952.15,220.29,1685.77,2106.17,3506.76,10938.10,18422.06,45335.05,58410.20,75934.55,19114.94
HTTP Sending (ms),0.40,0.14,1.91,17.82,0.14,0.14,0.15,0.15,0.17,0.64,0.79,0.89,1.83,0.40
HTTP Total Time (ms),16981.65,773.81,80149.88,764174.23,859.74,2245.73,2575.51,3902.50,11422.72,18909.99,46443.22,59018.93,76976.57,19235.72
HTTP Waiting (TTFB) (ms),648.71,262.31,2341.28,29191.87,267.74,287.59,343.60,466.70,552.46,658.19,996.42,1354.18,2201.15,397.03
Input Sequence Length (tokens),113834.51,65826.00,169517.00,5122553.00,66542.76,69224.00,71397.80,85770.00,110253.00,136584.00,163297.40,165929.00,168544.60,32177.14
Inter Chunk Latency (ms),19.75,11.27,413.31,734951.93,18.32,19.30,19.37,19.47,19.58,19.85,20.36,20.83,21.19,3.49
Inter Token Latency (ms),19.72,19.21,20.99,887.41,19.22,19.26,19.35,19.48,19.56,19.85,20.35,20.68,20.95,0.42
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
Output Token Count (tokens),827.93,9.00,4045.00,37257.00,12.08,85.80,109.40,183.00,522.00,945.00,2328.20,2821.80,3890.56,967.05
Output Token Throughput Per User (tokens/sec/user),50.73,47.63,52.05,2282.93,47.73,48.36,49.14,50.38,51.12,51.35,51.68,51.93,52.03,1.05
Prefill Throughput Per User (tokens/sec/user),207110.57,49494.41,431686.96,9319975.64,57711.08,76635.91,114742.22,151663.12,190313.26,261652.60,323532.20,348288.05,395444.29,82932.51
Request Latency (ms),16981.44,773.87,80149.54,764164.97,859.80,2244.88,2575.31,3902.17,11422.31,18910.09,46443.30,59018.50,76976.41,19235.78
Time to First Token (ms),649.18,262.53,2341.50,29213.04,268.75,288.30,343.82,467.41,552.69,658.42,996.99,1354.76,2201.65,397.02
Time to Second Token (ms),18.68,16.31,21.01,840.72,16.33,17.41,17.65,18.29,18.70,19.06,19.93,20.21,20.98,0.95
Tokens In Flight (tokens),103680.11,0.00,246677.00,,,,,,107992.00,,166421.00,169025.00,245813.00,62001.89
