Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),100.86,0.00,303.51,,,,,,92.39,,188.83,195.85,200.00,60.45
Active Decode Throughput Per User (tokens/sec/user),41.40,0.00,122.99,,,,,,49.45,,51.81,52.01,53.46,17.40
Active Prefill Throughput (tokens/sec),72134.16,0.00,445824.34,,,,,,48740.55,,94355.01,356640.85,445824.34,93740.97
Active Prefill Throughput Per User (tokens/sec/user),69263.20,0.00,445824.34,,,,,,48740.55,,94355.01,356640.85,445824.34,95224.11
Active Total Throughput (tokens/sec),9424.95,0.00,445824.34,,,,,,100.32,,19833.62,61463.52,111732.01,41480.04
Decode Duration (error-adjusted) (ms),,810.13,,,4308.44,24132.45,,,,,,,,
Inter Token Latency (error-adjusted) (ms),,19.38,,,20.09,24.78,,,,,,,,
Request Latency (error-adjusted) (ms),,1534.82,,,5980.40,26964.39,,,,,,,,
Time to First Token (error-adjusted) (ms),,280.11,,,421.27,2054.94,,,,,,,,
Credit-to-Start Latency (ms),0.99,0.39,12.71,297.50,0.44,0.47,0.54,0.68,0.82,0.96,1.38,1.62,6.60,1.01
Decode Duration (ms),15724.40,810.13,58579.84,298763.63,1302.37,3271.35,3670.26,5563.04,9519.96,16013.76,41094.93,55939.14,58051.70,16463.52
E2E Output Token Throughput (tokens/sec/user),41.35,23.92,50.11,702.90,24.45,26.55,27.64,40.06,42.55,47.07,48.95,49.78,50.04,7.76
Effective Concurrency,0.35,0.00,4.00,,,,,,0.00,,2.00,3.00,4.00,0.91
Effective Decode Concurrency,0.32,0.00,4.00,,,,,,0.00,,2.00,3.00,4.00,0.87
Effective Decode Throughput (tokens/sec),14.31,0.00,303.51,,,,,,0.00,,52.16,152.01,192.49,41.91
Effective Decode Throughput Per User (tokens/sec/user),5.87,0.00,122.99,,,,,,0.00,,45.72,51.09,51.89,15.86
Effective Latency (CO-aware) (ms),1077.83,0.74,60635.61,322271.27,0.81,0.89,0.98,1.22,1.39,1.66,3.10,6032.49,27188.47,5856.21
Effective Prefill Concurrency,0.02,0.00,3.00,,,,,,0.00,,0.00,0.00,1.00,0.18
Effective Prefill Throughput (tokens/sec),1336.09,0.00,445824.34,,,,,,0.00,,0.00,0.00,48740.55,16042.28
Effective Prefill Throughput Per User (tokens/sec/user),1282.91,0.00,445824.34,,,,,,0.00,,0.00,0.00,48740.55,15973.91
Effective Total Throughput (tokens/sec),1350.39,0.00,445824.34,,,,,,0.00,,87.11,149.06,48771.74,16044.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,730.79,43.00,2713.00,13885.00,64.78,151.90,165.60,229.00,403.00,746.00,2001.00,2457.40,2661.88,758.21
HTTP Chunks Sent,1.00,1.00,1.00,19.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.27,0.00,3.25,5.05,0.00,0.00,0.00,0.00,0.00,0.21,0.46,0.78,2.75,0.73
HTTP Connection Overhead (ms),0.41,0.00,5.90,7.71,0.00,0.00,0.00,0.00,0.00,0.21,0.46,1.05,4.93,1.31
HTTP Connection Reused (ratio),0.74,0.00,1.00,14.00,0.00,0.00,0.00,0.50,1.00,1.00,1.00,1.00,1.00,0.44
HTTP Data Received (KB),176.90,10.59,655.03,3361.02,15.92,37.22,40.57,55.86,97.83,180.56,483.29,593.38,642.70,182.89
HTTP Data Sent (KB),276.31,118.35,966.98,5249.96,118.38,118.48,119.70,121.89,130.82,196.18,915.30,921.45,957.87,290.91
HTTP DNS Lookup (ms),0.14,0.00,2.66,2.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,2.18,0.59
HTTP Duration (excl. conn) (ms),16905.56,2076.04,60634.71,321205.67,2428.84,3840.03,4478.00,6692.91,10470.68,16892.26,41686.58,56452.93,59798.35,16496.37
HTTP Receiving (ms),15781.39,1351.42,58579.84,299846.38,1746.23,3325.49,3670.30,5563.05,9519.97,16013.77,41094.94,55939.14,58051.70,16429.90
HTTP Sending (ms),0.44,0.13,3.58,8.29,0.13,0.13,0.13,0.14,0.16,0.40,0.64,1.00,3.06,0.77
HTTP Total Time (ms),16905.97,2076.46,60635.14,321213.38,2429.18,3840.07,4478.00,6692.91,10470.68,16892.26,41686.58,56452.97,59798.71,16496.20
HTTP Waiting (TTFB) (ms),1123.74,279.91,3233.29,21351.00,290.16,331.17,341.31,468.85,657.54,1617.45,2850.27,2955.42,3177.72,941.30
Input Sequence Length (tokens),73091.94,30231.00,247611.00,1242563.00,30231.00,30231.00,30461.40,30969.00,33144.00,40031.00,234372.60,237190.20,245526.84,78392.50
Inter Chunk Latency (ms),21.55,10.51,1727.84,298763.63,18.37,19.18,19.28,19.35,19.64,20.78,21.81,22.05,22.59,33.12
Inter Token Latency (ms),22.14,19.38,32.06,376.36,19.45,19.71,19.94,20.23,21.55,22.43,24.39,26.23,30.90,2.91
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),783.59,164.00,2713.00,13321.00,164.32,165.60,166.60,242.00,403.00,778.00,2108.00,2485.80,2667.56,780.59
Output Token Count (tokens),783.59,164.00,2713.00,13321.00,164.32,165.60,166.60,242.00,403.00,778.00,2108.00,2485.80,2667.56,780.59
Output Token Throughput Per User (tokens/sec/user),45.80,31.19,51.60,778.53,32.66,38.53,41.01,44.58,46.41,49.42,50.16,50.75,51.43,4.84
Prefill Throughput Per User (tokens/sec/user),99924.12,9457.64,445824.43,1698710.04,9597.94,10159.16,16907.05,48214.06,63036.73,90204.04,209613.57,374477.54,431555.05,114511.68
Request Latency (ms),16848.65,1534.82,60634.78,320124.42,1985.05,3785.98,4478.06,6692.99,10470.73,16892.32,41686.64,56452.98,59798.42,16529.35
Time to First Token (ms),1124.25,280.11,3237.07,21360.78,290.36,331.38,341.51,469.09,657.76,1617.70,2850.60,2956.42,3180.94,941.77
Time to Second Token (ms),46.03,14.05,309.24,874.61,14.63,16.97,17.36,18.80,20.53,21.59,66.00,235.17,294.42,77.36
Tokens In Flight (tokens),24694.72,0.00,350187.00,,,,,,0.00,,101422.00,195593.00,349331.00,73422.34
Usage Completion Tokens (tokens),783.59,164.00,2713.00,13321.00,164.32,165.60,166.60,242.00,403.00,778.00,2108.00,2485.80,2667.56,780.59
Usage Prompt Tokens (tokens),73091.94,30231.00,247611.00,1242563.00,30231.00,30231.00,30461.40,30969.00,33144.00,40031.00,234372.60,237190.20,245526.84,78392.50
Usage Total Tokens (tokens),73875.53,30473.00,248714.00,1255884.00,30522.28,30719.40,30879.40,31475.00,33618.00,40434.00,234660.80,237544.40,246480.08,78376.37

Metric,Value
Benchmark Duration (sec),137.41
Completed Requests (Success + Error),299.00
Context Overflow Count,0.00
Error Request Count,280.00
Input Token Throughput (tokens/sec),1336.09
OSL Mismatch Count,0.00
