Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),63.78,0.00,366.80,,,,,,49.34,,140.22,148.94,184.29,36.69
Active Decode Throughput Per User (tokens/sec/user),47.25,0.00,183.40,,,,,,49.25,,50.79,51.16,53.44,9.91
Active Prefill Throughput (tokens/sec),123324.61,2634.08,542169.96,,,,,,82635.61,,246325.39,339577.93,507252.65,101574.85
Active Prefill Throughput Per User (tokens/sec/user),119270.36,2634.08,542169.96,,,,,,80893.45,,246325.39,339577.93,507252.65,101615.27
Active Total Throughput (tokens/sec),8279.00,29.41,542169.96,,,,,,49.29,,137.07,58557.20,239574.80,40407.21
Credit-to-Start Latency (ms),0.97,0.56,8.02,74.58,0.57,0.61,0.64,0.70,0.76,0.97,1.27,1.62,3.51,0.86
Decode Duration (ms),14422.22,21.78,165533.53,1110510.94,251.60,1374.81,2080.93,2330.28,2990.44,6776.52,47109.03,78307.92,141023.56,31262.84
E2E Output Token Throughput (tokens/sec/user),38.09,2.33,49.06,2932.94,12.50,27.07,28.84,35.04,39.05,42.84,46.78,48.25,49.03,7.69
Effective Concurrency,1.30,0.00,4.00,,,,,,1.00,,3.00,3.00,4.00,0.86
Effective Decode Concurrency,1.23,0.00,4.00,,,,,,1.00,,3.00,3.00,4.00,0.81
Effective Decode Throughput (tokens/sec),57.22,0.00,366.80,,,,,,49.29,,103.51,148.45,183.83,39.78
Effective Decode Throughput Per User (tokens/sec/user),42.39,0.00,183.40,,,,,,49.21,,50.69,51.13,52.99,17.15
Effective Latency (CO-aware) (ms),15186.10,532.27,166467.89,1169329.61,781.01,2068.12,2512.87,2762.66,3827.01,7473.09,47860.13,80982.25,141700.87,31425.30
Effective Prefill Concurrency,0.07,0.00,3.00,,,,,,0.00,,0.00,1.00,1.00,0.26
Effective Prefill Throughput (tokens/sec),7504.91,0.00,542169.96,,,,,,0.00,,0.00,51339.92,233700.55,38692.18
Effective Prefill Throughput Per User (tokens/sec/user),7258.19,0.00,542169.96,,,,,,0.00,,0.00,46209.86,230550.86,37965.43
Effective Total Throughput (tokens/sec),7562.14,0.00,542169.96,,,,,,49.29,,136.68,51382.24,233700.55,38688.34
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,669.86,2.00,8160.00,51579.00,14.92,70.00,99.00,111.00,130.00,286.00,2167.80,3709.60,6931.84,1483.31
HTTP Chunks Sent,1.00,1.00,1.00,77.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.10,0.00,2.37,7.80,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.43,2.14,0.37
HTTP Connection Overhead (ms),0.15,0.00,4.26,11.38,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.43,3.88,0.65
HTTP Connection Reused (ratio),0.87,0.00,1.00,67.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.34
HTTP Data Received (KB),162.20,1.10,1968.91,12489.34,4.22,17.56,24.50,27.40,31.98,69.61,523.52,895.42,1672.66,357.79
HTTP Data Sent (KB),343.14,2.09,956.97,26421.55,105.81,139.74,143.70,160.40,208.17,362.10,900.69,928.84,955.81,277.49
