concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	5	1615556565	141.76	0.03527163839287195	35.27163839287196	506.7315912	27.872274395995994	28351.133712799998
2	8	1615566572	115.71	0.06913959100887529	69.1395910088753	613.808448625	28.334427395395394	28919.901416624994
4	16	1615586586	123.48	0.12957828310638786	129.57828310638786	872.457802	29.997898061311307	30840.35796525
8	24	1615626614	106.42	0.22552499582429264	225.52499582429266	1439.7407490416667	33.91619477548382	35322.01932975001
16	48	1615706670	211.44	0.2270188792195942	227.0188792195942	2224.123072645833	68.12696223277446	70282.95834318749
32	64	1615866782	279.05	0.2293464426888458	229.3464426888458	53739.69296703125	68.65432536126752	122325.36400293754
64	128	1616187006	558.37	0.22923689027106603	229.23689027106604	158307.05749603122	68.95603218619405	227194.133650039
128	256	1616827454	1119.33	0.22870745951214141	228.7074595121414	368424.5802271758	69.2497813910943	437605.1118368791
256	512	1618108350	2231.22	0.22947098363459223	229.47098363459224	785121.0746811617	69.05355980322517	854105.5809245835
512	1024	1620670142	4466.59	0.229257700174898	229.257700174898	1623046.5917416199	69.21705930806684	1692194.4339903838
