concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	7	596798855	121.87	0.057438954079000064	57.43895407900006	240.5743271428572	17.18631381109681	17409.701824428572
2	14	596808862	126.64	0.11055177966905824	110.55177966905825	364.58601957142855	17.742309713570712	18089.153423428572
4	24	596828876	125.23	0.1916464097920732	191.6464097920732	617.7075197916668	20.272882942817816	20870.317579666666
8	40	596868904	116.71	0.34272772933363543	342.7277293336354	863.5678886250004	22.498221682407404	23339.291349350005
16	64	596948960	110.33	0.5800747060122793	580.0747060122793	1181.5713252968749	26.421346529263626	27576.496508031254
32	96	597109072	109.06	0.8802551606131112	880.2551606131111	1798.5516013020829	34.572123567557135	36336.10304529166
64	128	597429296	103.96	1.2312815851390142	1231.2815851390144	2940.238268484375	49.031446882358935	51922.65370396094
128	256	598069744	153.31	1.669815446917176	1669.815446917176	4598.829571359376	71.97809053893738	76504.94201975779
256	512	599350640	234.33	2.184911381630228	2184.911381630228	8078.39838248047	108.7932289393436	116762.83409288475
512	1024	601912432	464.38	2.205086169762701	2205.086169762701	94774.2250068505	111.43791236145434	206100.69945594325
