concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	7	673449339	121.76	0.057488585104094096	57.4885851040941	244.41971642857143	17.167434520377522	17394.686802285712
2	14	673459346	126.73	0.11047052307623341	110.47052307623342	399.4933230000001	17.720693801587302	18102.466430785713
4	24	673479360	125.00	0.19200131590482672	192.00131590482673	624.2878563750002	20.22766268743744	20831.72288112499
8	40	673519388	117.89	0.3392887207168584	339.2887207168584	897.8278781000002	22.698983514339336	23574.112408924997
16	64	673599444	110.88	0.5771926164296641	577.1926164296641	1211.1284838125005	26.529406015765773	27714.0050935625
32	96	673759556	108.01	0.8888379870961034	888.8379870961035	1701.1425266979163	34.32026194481982	35987.08420957292
64	128	674079780	104.17	1.2287746049407982	1228.774604940798	2896.8508707656247	49.179987477383634	52027.65836067187
128	256	674720228	151.43	1.6905780388830012	1690.5780388830012	4603.46439498828	71.03262988759072	75565.06165269142
256	512	676001124	234.06	2.1874347934526464	2187.4347934526463	8132.030529597651	108.60028100948006	116623.71125806839
512	1024	678562916	464.99	2.2022050852029937	2202.205085202994	94567.68714428514	111.6426298440853	206098.67435852642
