concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	5	164645585	126.72	0.03945703428809106	39.45703428809106	217.77131779999996	25.151246804604604	25343.8668756
2	10	164655592	130.74	0.07648564967964963	76.48564967964964	342.28354849999994	25.82717641151151	26143.632783600005
4	16	164675606	111.03	0.14410096713241605	144.10096713241606	549.222526125	27.232900484797298	27754.8901104375
8	32	164715634	125.46	0.25505198862029543	255.05198862029545	778.3451492187498	30.61233511595971	31360.067930062494
16	48	164795690	225.06	0.21327869996202903	213.27869996202904	1176.6621231458332	73.87230139370622	74975.09121545833
32	64	164955802	146.34	0.43733774287429295	437.3377428742929	10868.472421593753	52.85777872788413	63673.39337075
64	128	165276026	313.32	0.4085327181009706	408.5327181009706	66001.05360708595	56.46502502217061	122409.61360423442
128	256	165916474	627.51	0.4079638040209734	407.9638040209734	174325.5569382031	56.81896774938612	231087.70571983999
256	512	167197370	1168.88	0.43802517021965964	438.0251702196597	392380.46086582216	56.5295489833877	448853.4803002268
512	1024	169759162	2327.33	0.4399900589984086	439.99005899840864	829854.8056148406	56.43260228965392	886230.9753022059
