concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	5	1302744513	126.81	0.039430062178952896	39.430062178952895	216.13444800000002	25.17030428068068	25361.2684244
2	10	1302754520	130.47	0.07664419001679493	76.64419001679492	339.5415549	25.775727017917916	26089.4928458
4	16	1302774534	110.67	0.14457447419411906	144.57447419411906	543.4671306875	27.1475401361987	27663.85972675
8	32	1302814562	126.16	0.2536410782831193	253.64107828311933	774.0384382499999	30.791168168981475	31534.4154390625
16	48	1302894618	228.25	0.21029561645666003	210.29561645666004	1199.4375670625002	74.93535850925925	76059.8607178125
32	64	1303054730	147.79	0.43305240155374963	433.05240155374963	10987.828247687505	53.39861105497686	64333.04069160937
64	128	1303374954	318.25	0.40219957391213873	402.1995739121387	66528.7310732578	57.11894977359394	123590.56189707809
128	256	1304015402	629.77	0.40649881524038817	406.4988152403881	175716.35778881639	57.63017325686229	233288.90087242206
256	512	1305296298	1176.45	0.43520941824172343	435.2094182417234	397362.2678436189	56.501251569393546	453807.0181614435
512	1024	1307858090	2340.76	0.43746401355573106	437.46401355573107	830916.7316172986	56.42095649084341	887281.2671516523
