concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	5	410252594	142.12	0.035180531481978236	35.180531481978235	264.59303079999995	28.18833816016016	28424.742852800002
2	8	410262601	116.11	0.0688979155450836	68.89791554508359	393.73389262499995	28.656273879504504	29021.35149825
4	16	410282615	124.06	0.1289737446933237	128.9737446933237	669.0222630000001	30.371543707957958	31010.194427250004
8	24	410322643	106.54	0.2252577026338869	225.2577026338869	984.4506912916665	34.55598455292793	35505.87925966666
16	48	410402699	241.24	0.19897192993389853	198.97192993389854	1512.6760333125	78.95421343820902	80387.93525808335
32	64	410562811	176.79	0.36201354251063783	362.0135425106378	15007.06417246875	56.740534787365505	71690.85842504688
64	128	410883035	348.95	0.36681438252094883	366.8143825209488	78278.7545417734	58.44167635980512	136661.9892252187
128	256	411523483	684.66	0.3739105150865435	373.9105150865435	203489.91306196494	58.79979224348564	262230.9055132071
256	512	412804379	1368.64	0.3740951811823295	374.0951811823295	456061.5963258672	59.70267263202654	515704.56628526154
512	1024	415366171	2699.13	0.3793812700649866	379.3812700649866	956813.9865831218	59.54700415771438	1016301.4437366797
