concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	20	329873988	125.13	0.15983719708795976	143.8534773791638	662.0879458729178	6.222519755505389	
2	36	329883995	127.35	0.2826940639973186	254.42465759758676	965.823505164331	6.794943493038592	
3	51	329894002	144.05	0.35403616170654884	318.63254553589394	1263.6698641923858	8.01951846378773	
4	64	329904009	141.92	0.4509697278969486	405.8727551072538	1571.2185754382517	8.117691298026811	
5	80	329914016	156.02	0.5127537587598459	461.47838288386123	1842.0543842832558	8.796752303037419	
6	96	329924023	172.18	0.5575444114580023	501.78997031220206	2183.761248748245	9.54010646836366	
7	105	329934030	170.37	0.6163194249447964	554.6874824503168	2399.3321796701775	9.963168506931105	
8	120	329944037	180.50	0.6648189497045405	598.3370547340865	2804.827044865427	10.263322802718237	
9	135	329954044	200.36	0.6737729457136076	606.3956511422467	2978.691652810408	11.542702983762165	
10	150	329964051	209.55	0.7158104844394957	644.2294359955462	3187.667044627791	11.99130371159435	
