concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	17	329873988	103.49	0.16427271870036989	147.8454468303329	885.8878682915341	5.7856824408627	
2	30	329883995	106.12	0.282701955647966	254.43176008316942	1452.5982761289924	6.253237839412493	
3	45	329894002	130.05	0.34601702551820723	311.41532296638655	1921.6477261752718	7.506035351608938	
4	56	329904009	129.79	0.43147073612777737	388.3236625149996	2359.7402821344854	7.686431803492302	
5	70	329914016	146.46	0.4779314064277391	430.1382657849652	2745.962109250416	8.581538068902546	
6	84	329924023	161.13	0.5213289828586919	469.1960845728227	3265.3048355076908	9.168514424917323	
7	91	329934030	160.26	0.5678387954798899	511.0549159319009	3452.984273592317	9.869653888947086	
8	104	329944037	172.56	0.6026771945191487	542.4094750672338	4161.324467487598	10.134442357924042	
9	117	329954044	193.52	0.6045811385025731	544.1230246523158	4326.532824701255	11.743725601710477	
10	130	329964051	206.50	0.6295270211291067	566.574319016196	4779.381921984112	12.350484153101702	
