Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),79.05,0.00,19360.39,,,,,,81.99,,147.07,153.47,188.03,51.61
Active Decode Throughput Per User (tokens/sec/user),38.67,0.00,17589.66,,,,,,41.22,,47.02,47.31,48.25,25.02
Active Prefill Throughput (tokens/sec),53928.00,3014.15,341686.01,,,,,,36017.35,,116905.32,142469.87,257902.97,48944.87
Active Prefill Throughput Per User (tokens/sec/user),51735.85,3014.15,341686.01,,,,,,33944.11,,116180.74,142469.87,257902.97,47603.94
Active Total Throughput (tokens/sec),5715.17,22.40,341759.77,,,,,,79.11,,11445.44,40746.03,118323.86,22854.38
Credit-to-Start Latency (ms),1.10,0.52,13.43,95.38,0.54,0.60,0.60,0.65,0.73,0.82,1.42,2.13,10.76,1.72
Decode Duration (ms),20196.51,595.15,191292.41,1757096.10,1043.00,1962.44,2168.99,2624.37,3730.67,11069.18,83430.60,111766.89,161197.72,39327.40
E2E Output Token Throughput (tokens/sec/user),32.47,14.79,45.30,2824.60,18.05,21.45,22.19,28.31,32.97,37.06,39.71,42.22,44.97,6.53
Effective Concurrency,1.97,0.00,5.00,,,,,,2.00,,4.00,4.00,5.00,1.28
Effective Decode Concurrency,1.87,0.00,5.00,,,,,,2.00,,4.00,4.00,5.00,1.28
Effective Decode Throughput (tokens/sec),69.72,0.00,19360.39,,,,,,81.11,,146.82,149.35,187.68,54.77
Effective Decode Throughput Per User (tokens/sec/user),34.10,0.00,17589.66,,,,,,41.10,,46.95,47.24,48.21,26.60
Effective Latency (CO-aware) (ms),21271.38,875.79,191693.37,1850609.80,2011.36,2383.71,2633.94,3258.48,4991.15,13284.66,85077.44,113030.11,161728.37,39589.57
Effective Prefill Concurrency,0.10,0.00,2.00,,,,,,0.00,,0.00,1.00,1.00,0.31
Effective Prefill Throughput (tokens/sec),5109.75,0.00,341686.01,,,,,,0.00,,0.00,33469.97,116180.74,21827.40
Effective Prefill Throughput Per User (tokens/sec/user),4902.04,0.00,341686.01,,,,,,0.00,,0.00,33469.97,108555.26,21078.44
Effective Total Throughput (tokens/sec),5179.47,0.00,341759.77,,,,,,76.79,,174.23,33512.01,116219.62,21820.61
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,746.46,23.00,6623.00,64942.00,47.94,73.60,84.40,103.50,132.00,380.50,3203.20,4241.70,5716.56,1430.25
HTTP Chunks Sent,1.00,1.00,1.00,87.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.12,0.00,2.56,10.59,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.48,2.36,0.40
HTTP Connection Overhead (ms),0.17,0.00,4.60,15.06,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.48,4.30,0.68
HTTP Connection Reused (ratio),0.84,0.00,1.00,73.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.37
HTTP Data Received (KB),189.46,6.37,1696.91,16483.16,12.43,18.63,21.13,25.86,32.79,95.30,812.32,1083.77,1459.76,365.68
HTTP Data Sent (KB),216.19,3.25,667.12,18808.32,58.50,69.54,74.02,148.04,220.99,279.45,310.46,337.16,664.84,111.28
HTTP DNS Lookup (ms),0.05,0.00,2.03,4.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.94,0.30
HTTP Duration (excl. conn) (ms),21270.21,873.11,191692.55,1850508.08,2010.26,2383.00,2633.04,3257.64,4990.29,13283.67,85076.59,113029.32,161727.50,39589.12
HTTP Receiving (ms),20196.51,595.15,191292.41,1757096.34,1043.00,1962.44,2168.99,2624.38,3730.67,11069.19,83430.60,111766.89,161197.72,39327.40
HTTP Sending (ms),0.29,0.12,2.90,25.09,0.13,0.13,0.13,0.15,0.16,0.19,0.59,0.67,2.56,0.41
HTTP Total Time (ms),21270.38,874.50,191692.55,1850523.14,2010.45,2383.00,2633.22,3257.64,4990.29,13283.67,85076.59,113029.32,161727.50,39589.06
HTTP Waiting (TTFB) (ms),1073.41,223.64,3777.13,93386.65,224.92,255.93,279.88,437.19,675.97,1623.02,2256.06,2666.75,3003.58,818.41
Input Sequence Length (tokens),55208.89,838.00,169941.00,4803173.00,15194.84,18116.80,19287.20,37663.50,56619.00,71265.50,79144.60,85676.10,169361.36,28266.16
Inter Chunk Latency (ms),27.09,0.06,3742.82,1757096.10,21.21,21.34,21.52,24.25,24.67,27.29,27.64,27.94,30.78,55.41
Inter Token Latency (ms),27.07,21.24,51.22,2355.11,21.25,21.40,21.52,24.13,25.49,28.44,34.10,40.31,45.56,5.74
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),754.26,23.00,6674.00,65621.00,47.94,73.60,85.60,103.50,132.00,386.50,3251.00,4268.20,5823.46,1446.73
Output Token Count (tokens),754.26,23.00,6674.00,65621.00,47.94,73.60,85.60,103.50,132.00,386.50,3251.00,4268.20,5823.46,1446.73
Output Token Throughput Per User (tokens/sec/user),38.23,19.52,47.08,3326.25,22.00,24.84,29.33,35.16,39.22,41.45,46.47,46.72,47.06,6.30
Prefill Throughput Per User (tokens/sec/user),80239.26,3014.16,341686.04,6980815.71,8496.76,14819.08,20445.25,33707.04,60044.45,112368.01,155599.52,197003.90,270068.23,62756.30
Request Latency (ms),21270.28,873.17,191692.62,1850514.42,2010.35,2383.07,2633.12,3257.71,4990.36,13283.75,85076.65,113029.38,161727.57,39589.12
Time to First Output Token (ms),9832.15,1809.83,20919.00,255636.01,2527.01,4705.45,4794.51,6818.30,9415.95,11229.49,17463.83,19097.93,20475.58,4636.01
Time to First Token (ms),1073.77,224.30,3777.33,93418.31,225.27,256.20,280.26,437.56,676.18,1623.24,2256.51,2666.97,3006.25,818.47
Time to Second Token (ms),88.35,20.44,1656.56,7686.33,20.52,21.28,21.46,24.02,24.85,27.06,30.44,409.15,1542.38,273.46
Tokens In Flight (tokens),136174.86,0.00,338189.56,,,,,,145191.15,,274431.51,282287.32,334827.37,87468.38
Usage Completion Tokens (tokens),754.26,23.00,6674.00,65621.00,47.94,73.60,85.60,103.50,132.00,386.50,3251.00,4268.20,5823.46,1446.73
Usage Prompt Tokens (tokens),55208.89,838.00,169941.00,4803173.00,15194.84,18116.80,19287.20,37663.50,56619.00,71265.50,79144.60,85676.10,169361.36,28266.16
Usage Total Tokens (tokens),55963.15,861.00,170048.00,4868794.00,15306.42,18223.30,19361.00,37987.50,57422.00,72248.50,81202.40,89463.10,170036.82,28645.94

Metric,Value
Benchmark Duration (sec),881.22
Input Token Throughput (tokens/sec),5109.75
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),69.81
Request Count,87.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.09
Theoretical Prefix Cache Hit (%),90.11
Total Input Sequence Length (tokens),4803173.00
Total Output Sequence Length (tokens),65621.00
Total Output Tokens (tokens),65621.00
Total Token Throughput (tokens/sec),5179.56
Total Usage Completion Tokens (tokens),65621.00
Total Usage Prompt Tokens (tokens),4803173.00
Total Usage Total Tokens (tokens),4868794.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
