Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),25.11,0.00,33381.66,,,,,,14.21,,61.05,69.45,95.93,30.56
Active Decode Throughput Per User (tokens/sec/user),11.55,0.00,33381.66,,,,,,12.94,,27.08,40.90,43.96,16.24
Active Prefill Throughput (tokens/sec),9160.47,761.58,129872.09,,,,,,4619.89,,25779.24,40103.35,57322.17,13497.08
Active Prefill Throughput Per User (tokens/sec/user),7791.66,613.14,129872.09,,,,,,2303.66,,23934.33,38699.77,57322.17,13228.01
Active Total Throughput (tokens/sec),4410.98,7.61,129893.02,,,,,,51.66,,11043.91,25797.62,46089.95,10400.69
Credit-to-Start Latency (ms),0.80,0.33,2.86,59.27,0.40,0.47,0.50,0.58,0.65,0.80,1.28,1.53,2.85,0.47
Decode Duration (ms),27405.95,1212.50,434759.35,2028040.29,1276.56,2442.96,4251.76,6841.96,9883.39,21306.64,54519.82,72169.26,335708.23,61104.91
E2E Output Token Throughput (tokens/sec/user),10.70,1.29,35.98,791.66,1.71,2.50,2.90,6.34,10.11,12.67,18.11,22.11,35.54,6.95
Effective Concurrency,2.91,0.00,7.00,,,,,,3.00,,5.00,6.00,7.00,1.81
Effective Decode Concurrency,2.16,0.00,7.00,,,,,,2.00,,4.00,5.00,6.00,1.52
Effective Decode Throughput (tokens/sec),21.16,0.00,33381.66,,,,,,1.70,,58.00,68.08,92.92,29.51
Effective Decode Throughput Per User (tokens/sec/user),9.74,0.00,33381.66,,,,,,0.70,,25.04,40.41,43.67,15.49
Effective Latency (CO-aware) (ms),36925.25,2218.42,496081.34,2732468.58,2344.21,5176.81,6288.17,9771.57,13674.33,38958.19,86784.82,97520.82,356041.09,68606.20
Effective Prefill Concurrency,0.75,0.00,5.00,,,,,,0.00,,2.00,3.00,5.00,1.09
Effective Prefill Throughput (tokens/sec),4063.48,0.00,129872.09,,,,,,0.00,,10416.37,23934.33,43909.86,10075.74
Effective Prefill Throughput Per User (tokens/sec/user),3456.29,0.00,129872.09,,,,,,0.00,,10416.37,21575.48,42480.29,9623.07
Effective Total Throughput (tokens/sec),4084.64,0.00,129893.02,,,,,,44.25,,10416.37,23934.33,43930.42,10074.93
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,115.41,12.00,1510.00,8540.00,14.19,21.60,31.30,46.25,55.50,93.50,198.50,305.25,1257.42,217.42
HTTP Chunks Sent,1.00,1.00,1.00,74.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.18,0.00,3.11,13.29,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.82,2.47,0.52
HTTP Connection Overhead (ms),0.27,0.00,5.72,20.34,0.00,0.00,0.00,0.00,0.00,0.00,0.43,1.17,4.53,0.93
