Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),32.09,0.00,43309.21,,,,,,36.58,,59.93,61.58,64.88,27.05
Active Decode Throughput Per User (tokens/sec/user),24.88,0.00,43309.21,,,,,,26.78,,56.52,59.44,60.71,24.52
Active Prefill Throughput (tokens/sec),6091.75,396.11,98828.99,,,,,,2503.60,,15375.38,20365.06,42548.99,9660.52
Active Prefill Throughput Per User (tokens/sec/user),5536.41,396.11,98828.99,,,,,,2503.60,,15182.24,17646.97,42548.99,9361.15
Active Total Throughput (tokens/sec),2981.58,12.27,98855.30,,,,,,74.06,,10258.17,15375.38,25585.77,7383.91
Credit-to-Start Latency (ms),1.04,0.37,4.17,46.81,0.46,0.60,0.62,0.67,0.77,0.96,2.03,2.62,3.70,0.74
Decode Duration (ms),20219.63,923.94,221422.07,909883.45,1570.69,3461.50,3865.00,5154.25,7479.97,17123.55,42924.61,70927.02,167584.90,36017.59
E2E Output Token Throughput (tokens/sec/user),12.90,1.33,45.37,580.30,1.34,2.01,4.65,7.23,11.45,16.47,21.90,31.65,42.90,9.04
Effective Concurrency,1.48,0.00,3.00,,,,,,1.00,,3.00,3.00,3.00,0.84
Effective Decode Concurrency,0.98,0.00,3.00,,,,,,1.00,,2.00,3.00,3.00,0.88
Effective Decode Throughput (tokens/sec),21.57,0.00,43309.21,,,,,,1.76,,58.61,60.62,64.12,26.81
Effective Decode Throughput Per User (tokens/sec/user),16.73,0.00,43309.21,,,,,,1.32,,40.28,58.67,60.51,23.25
Effective Latency (CO-aware) (ms),30486.45,4267.75,227876.20,1371890.33,4636.32,5720.51,6016.91,8807.88,15810.87,29242.02,66742.60,116204.20,188351.91,41871.46
Effective Prefill Concurrency,0.50,0.00,2.00,,,,,,0.00,,1.00,1.00,2.00,0.58
Effective Prefill Throughput (tokens/sec),2766.57,0.00,98828.99,,,,,,0.00,,9408.34,15375.38,25557.95,7182.15
Effective Prefill Throughput Per User (tokens/sec/user),2514.37,0.00,98828.99,,,,,,0.00,,5156.96,13685.68,25557.95,6884.50
Effective Total Throughput (tokens/sec),2788.14,0.00,98855.30,,,,,,51.87,,9412.08,15375.38,25585.77,7178.03
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,170.91,10.00,1370.00,7691.00,12.64,23.60,29.80,38.00,46.00,127.00,316.00,997.00,1307.52,310.55
HTTP Chunks Sent,1.00,1.00,1.00,45.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.19,0.00,2.19,8.40,0.00,0.00,0.00,0.00,0.00,0.00,0.44,1.14,2.06,0.47
HTTP Connection Overhead (ms),0.27,0.00,3.94,12.37,0.00,0.00,0.00,0.00,0.00,0.00,0.44,1.81,3.65,0.80
HTTP Connection Reused (ratio),0.78,0.00,1.00,35.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.42
HTTP Data Received (KB),44.74,3.28,361.19,2013.48,3.97,6.73,8.33,10.31,12.19,32.86,81.68,257.53,343.13,80.98
HTTP Data Sent (KB),224.27,15.08,667.12,10092.15,38.14,68.01,69.62,75.17,171.72,209.99,632.86,636.56,665.95,194.97
HTTP DNS Lookup (ms),0.09,0.00,1.75,3.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,1.59,0.34
HTTP Duration (excl. conn) (ms),30485.34,4266.63,227875.25,1371840.33,4635.37,5719.67,6016.18,8806.72,15810.04,29241.06,66740.71,116200.59,188350.87,41871.21
HTTP Receiving (ms),20222.25,923.94,221422.08,910001.28,1570.69,3461.50,3865.00,5154.25,7479.97,17123.55,42924.61,70927.02,167584.90,36017.83
HTTP Sending (ms),0.35,0.08,2.44,15.97,0.09,0.15,0.15,0.16,0.17,0.19,0.63,1.32,2.29,0.48
HTTP Total Time (ms),30485.62,4267.06,227875.25,1371852.69,4635.62,5719.67,6016.18,8807.15,15810.04,29241.50,66741.13,116201.38,188350.87,41871.37
HTTP Waiting (TTFB) (ms),10262.74,534.85,68198.71,461823.08,537.95,886.46,1145.27,1593.77,4242.72,9143.76,25305.02,56464.70,66404.24,16149.86
Input Sequence Length (tokens),57175.89,3973.00,169942.00,2572915.00,9938.52,17705.20,18138.40,19591.00,43705.00,53580.00,160155.20,161124.00,169645.44,49305.14
Inter Chunk Latency (ms),118.95,0.00,55700.26,909883.45,57.79,58.64,59.05,59.89,62.11,127.94,132.71,135.79,153.62,733.16
Inter Token Latency (ms),78.37,18.12,654.77,3526.61,18.63,21.03,25.41,38.59,56.98,73.57,112.70,204.47,484.23,99.04
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),446.76,24.00,4910.00,20104.00,36.32,63.00,77.80,91.00,115.00,320.00,736.60,2532.40,3945.96,899.82
Output Token Count (tokens),446.76,24.00,4910.00,20104.00,36.32,63.00,77.80,91.00,115.00,320.00,736.60,2532.40,3945.96,899.82
Output Token Throughput Per User (tokens/sec/user),21.31,1.53,55.20,958.89,2.50,4.93,8.88,13.59,17.55,25.91,39.35,47.84,53.73,12.61
Prefill Throughput Per User (tokens/sec/user),16397.59,396.11,98828.98,737891.33,711.80,1162.11,1812.60,4303.16,11743.32,18944.99,30237.25,53690.20,95269.04,20172.84
Request Latency (ms),30485.41,4266.71,227875.33,1371843.52,4635.45,5719.74,6016.25,8806.80,15810.11,29241.13,66740.78,116200.66,188350.95,41871.21
Time to First Output Token (ms),34891.04,8742.92,81871.03,418692.43,8810.65,9081.60,9729.59,16510.27,21916.85,50004.34,71652.63,76260.20,80748.87,25258.12
Time to First Token (ms),10265.78,535.06,68198.98,461960.08,538.18,886.70,1145.49,1594.01,4242.99,9146.27,25305.44,56465.31,66404.51,16149.73
Time to Second Token (ms),1340.37,49.11,55700.26,60316.53,49.90,51.16,55.07,86.79,117.11,122.15,127.07,127.93,31248.79,8195.10
Tokens In Flight (tokens),123601.50,0.00,331942.78,,,,,,101800.61,,322149.00,322149.00,331361.82,86574.34
Usage Completion Tokens (tokens),446.76,24.00,4910.00,20104.00,36.32,63.00,77.80,91.00,115.00,320.00,736.60,2532.40,3945.96,899.82
Usage Prompt Cache Read Tokens (tokens),46326.04,64.00,168896.00,2084672.00,64.00,64.00,11532.80,17792.00,30848.00,45184.00,134412.80,158144.00,166699.52,45712.12
Usage Prompt Tokens (tokens),57175.89,3973.00,169942.00,2572915.00,9938.52,17705.20,18138.40,19591.00,43705.00,53580.00,160155.20,161124.00,169645.44,49305.14
Usage Total Tokens (tokens),57622.64,3997.00,170049.00,2593019.00,10007.40,17840.40,18238.40,19673.00,44094.00,54325.00,161172.60,163252.60,170043.28,49677.31

Metric,Value
Benchmark Duration (sec),899.89
Input Token Throughput (tokens/sec),2766.57
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),21.62
Overall Usage Prompt Cache Read % (%),81.02
Request Count,45.00
Request Error Rate (%),0.00
Request Throughput (requests/sec),0.05
Theoretical Prefix Cache Hit (%),87.09
Total Input Sequence Length (tokens),2572915.00
Total Output Sequence Length (tokens),20104.00
Total Output Tokens (tokens),20104.00
Total Token Throughput (tokens/sec),2788.19
Total Usage Completion Tokens (tokens),20104.00
Total Usage Prompt Cache Read Tokens (tokens),2084672.00
Total Usage Prompt Tokens (tokens),2572915.00
Total Usage Total Tokens (tokens),2593019.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Platform,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
