concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	4	1086869537	126.67	0.031577499640075786	31.57749964007579	635.8906965469941	31.06302594266332	
2	8	1086879544	139.16	0.05748871762486964	57.488717624869636	1191.812862176448	33.630992999490076	
4	12	1086899558	145.74	0.08233647432617916	82.33647432617916	6576.528294322391	42.04627832277092	
8	16	1086939586	102.11	0.15669549393388454	156.69549393388453	3664.769055118086	47.4362688409901	
16	32	1087019642	134.53	0.23787122923876858	237.87122923876856	6620.116628822871	60.70247244753666	
32	64	1087179754	188.22	0.3400268031844888	340.0268031844888	11958.263083310158	82.23156076630468	
64	128	1087499978	305.28	0.419286751094868	419.286751094868	18384.955332909158	134.38435373927814	
128	256	1088140426	600.76	0.42612409469037227	426.12409469037226	121064.70268033809	135.0483332912768	
256	512	1089421322	1167.47	0.4385554394860718	438.5554394860718	331118.63398617605	133.2919236458458	
512	1024	1091983114	2237.72	0.4576084472812989	457.60844728129894	740137.8756845106	131.09959896706283	
