concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	4	1681885579	128.65	0.03109107578542648	31.09107578542648	687.3155441135168	31.507521144671923	
2	8	1681895586	141.64	0.056479343971378305	56.4793439713783	1289.9642395204864	34.15512919044439	
4	12	1681915600	147.18	0.08153542129745008	81.53542129745009	6601.145615141529	42.49946792536342	
8	16	1681955628	105.26	0.1520036112085035	152.00361120850351	3854.039676312823	48.824285441624774	
16	32	1682035684	141.22	0.2265942703102996	226.5942703102996	7037.012234548456	63.63596854520459	
32	64	1682195796	193.97	0.3299528973568313	329.95289735683133	11495.456808515883	85.57105997641082	
64	128	1682516020	322.38	0.3970445316919538	397.0445316919538	19182.062403735472	142.14600074056588	
128	256	1683156468	511.45	0.5005346007538933	500.53460075389336	34078.81822706986	221.85967206056844	
256	512	1684437364	1015.63	0.5041189576517716	504.11895765177155	187526.89669672417	238.98040440366137	
512	1024	1686999156	2028.32	0.5048519934479705	504.85199344797053	559837.616884919	253.62535759166428	
