concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	4	879127538	126.89	0.031522939063011284	31.522939063011286	605.386585695669	31.14845450453412	
2	8	879137545	139.19	0.0574752098060271	57.4752098060271	1270.1715556904674	33.560754563142034	
4	12	879157559	144.93	0.08280055915802606	82.80055915802606	6588.938977724562	41.76134222958077	
8	16	879197587	101.69	0.15734238716736293	157.34238716736292	3797.923615173204	47.09284924153888	
16	32	879277643	133.48	0.23972765311059796	239.72765311059797	6977.803279442014	59.822841333054654	
32	64	879437755	186.12	0.3438563407580779	343.8563407580779	11135.824065073393	82.00572228765618	
64	128	879757979	293.92	0.43548898616951354	435.4889861695135	19043.20245321651	128.04087896566253	
128	256	880398427	579.08	0.4420820430817063	442.0820430817063	120129.16017912357	126.92230858407343	
256	512	881679323	1146.48	0.44658415273571284	446.58415273571285	328397.8636068714	126.87436731229226	
512	1024	884241115	2227.38	0.459732188820564	459.732188820564	737625.2845137619	125.70985301544033	
