concurrency	num_prompts	seed	duration_s	request_throughput	output_tok_s	mean_ttft_ms	mean_tpot_ms	mean_e2el_ms
1	4	1470305960	80.81	0.04950151253191231	49.50151253191231	244.00593515019864	19.977142941696126	
1-topup	2	1470305961	40.43	0.04946242755689215	49.46242755689215	244.31238952092826	19.992766262090825	
2	12	1470315967	140.72	0.08527868737489112	85.27868737489112	315.1568683097139	23.15942427710732	
4	20	1470335981	158.25	0.12638607146409964	126.38607146409963	5351.651483331807	26.322753933347855	
8	24	1470376009	91.09	0.263468908041509	263.468908041509	1164.1945564382088	29.227774952240615	
16	48	1470456065	99.58	0.48203609355717997	482.03609355718	1642.176724524082	31.57802920942232	
32	96	1470616177	122.90	0.7811486360664999	781.1486360664999	2255.6773414398776	38.74330394405687	
64	128	1470936401	115.62	1.1070350898254326	1107.0350898254326	3682.102081795165	54.1728510869178	
128	256	1471576849	193.86	1.3205216224502665	1320.5216224502665	15498.50965798396	64.65989321904189	
256	512	1472857745	351.30	1.4574492796620364	1457.4492796620364	77644.13600374246	65.73833985785714	
512	1024	1475419537	701.80	1.4591006089124183	1459.1006089124185	205109.75299727442	66.55056693241457	
