-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      15.913ms        75.64%      15.913ms       1.989ms             8  
                                       vllm::all_gather         0.01%      74.600us         0.19%       1.569ms     104.623us      11.027ms        52.42%      11.027ms     735.158us            15  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      11.027ms        52.42%      11.027ms     735.158us            15  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       9.080ms        43.16%       9.080ms       3.027ms             3  
                                     record_param_comms         0.11%     929.144us         0.15%       1.274ms      42.465us       4.222ms        20.07%       4.222ms     140.717us            30  
ncclDevKernel_SendRecv(ncclDevKernelArgsStorage<4096...         0.00%       0.000us         0.00%       0.000us       0.000us       4.163ms        19.79%       4.163ms     416.308us            10  
                                         nccl:recv 1<-0         0.00%       0.000us         0.00%       0.000us       0.000us       4.163ms        19.79%       4.163ms     416.308us            10  
void (anonymous namespace)::multimem_all_reduce_kern...         0.00%       0.000us         0.00%       0.000us       0.000us       2.920ms        13.88%       2.920ms     146.011us            20  
                                               aten::mm         0.02%     192.421us         0.03%     246.773us      49.355us     383.904us         1.82%     383.904us      76.781us             5  
          nvjet_sm90_tst_192x8_64x8_1x1_h_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     371.008us         1.76%     371.008us      74.202us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     256.481us         1.22%     256.481us      16.030us            16  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     224.003us         1.06%     224.003us       9.333us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     159.201us         0.76%     159.201us       9.950us            16  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     146.209us         0.69%     146.209us      29.242us             5  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     130.624us         0.62%     130.624us       5.225us            25  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     130.592us         0.62%     130.592us      16.324us             8  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     124.224us         0.59%     124.224us      24.845us             5  
