-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      19.720ms       103.46%      19.720ms       1.232ms            16  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.263ms        64.33%      12.263ms       1.533ms             8  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      11.197ms        58.74%      11.197ms     215.332us            52  
                                       vllm::all_reduce         0.01%      36.101us         0.21%     526.191us     105.238us       8.869ms        46.53%       8.869ms       1.774ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       3.978ms        20.87%       3.978ms     497.199us             8  
                                       vllm::all_gather         0.01%      28.070us         0.22%     545.102us     109.020us     467.615us         2.45%     467.615us      93.523us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     467.615us         2.45%     467.615us      93.523us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     376.286us         1.97%     376.286us      15.679us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     334.816us         1.76%     334.816us      10.463us            32  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     236.574us         1.24%     236.574us       5.257us            45  
                                               aten::mm         0.07%     172.312us         0.08%     202.076us      40.415us     187.073us         0.98%     187.073us      37.415us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     187.073us         0.98%     187.073us      37.415us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     165.534us         0.87%     165.534us       5.173us            32  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     144.479us         0.76%     144.479us      28.896us             5  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     137.633us         0.72%     137.633us      27.527us             5  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     135.613us         0.71%     135.613us       1.884us            72  
void vllm::situ_and_mul_kernel<c10::BFloat16>(c10::B...         0.00%       0.000us         0.00%       0.000us       0.000us     112.255us         0.59%     112.255us       3.207us            35  
