-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      23.094ms       109.31%      23.094ms       1.443ms            16  
ncclDevKernel_AllReduce_Sum_bf16_TREE_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us      13.315ms        63.02%      13.315ms     256.052us            52  
                  execute_context_1(10)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      12.422ms        58.80%      12.422ms       1.553ms             8  
                                       vllm::all_reduce         0.01%      30.631us         0.16%     515.509us     103.102us      11.083ms        52.46%      11.083ms       2.217ms             5  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       3.584ms        16.97%       3.584ms     448.044us             8  
                                       vllm::all_gather         0.01%      28.669us         0.18%     571.845us     114.369us     493.630us         2.34%     493.630us      98.726us             5  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     493.630us         2.34%     493.630us      98.726us             5  
          nvjet_sm90_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     376.192us         1.78%     376.192us      15.675us            24  
          nvjet_sm90_tst_64x8_64x16_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     338.272us         1.60%     338.272us      10.571us            32  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     246.720us         1.17%     246.720us      20.560us            12  
                                       _attn_res_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     235.584us         1.12%     235.584us       5.235us            45  
                                               aten::mm         0.05%     171.351us         0.06%     198.940us      39.788us     188.928us         0.89%     188.928us      37.786us             5  
                nvjet_sm90_tst_128x8_64x12_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     188.928us         0.89%     188.928us      37.786us             5  
                 nvjet_sm90_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     170.559us         0.81%     170.559us       5.330us            32  
void sm90::flash_fwd_splitkv_mla_kernel<Traits<cutla...         0.00%       0.000us         0.00%       0.000us       0.000us     147.135us         0.70%     147.135us      29.427us             5  
void marlin_moe_wna16::Marlin<1125899906909960l, 562...         0.00%       0.000us         0.00%       0.000us       0.000us     145.310us         0.69%     145.310us       9.687us            15  
smxx::decode::get_mla_metadata_kernel(GetDecodeSched...         0.00%       0.000us         0.00%       0.000us       0.000us     137.633us         0.65%     137.633us      27.527us             5  
